Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity generation,Fuel,Coal,TWh,5.14,-0.55,-9.67
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity generation,Fuel,Gas,TWh,4.93,0.86,21.13
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity generation,Fuel,Hydro,TWh,2.46,0.09,3.8
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity generation,Fuel,Other Fossil,TWh,0.1,0.02,25.0
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity generation,Fuel,Solar,TWh,0.1,0.0,0.0
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity generation,Total,Total Generation,TWh,13.11,0.51,4.05
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Electricity imports,Electricity imports,Net Imports,TWh,0.0,0.0,
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.15,0.02,15.38
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Aggregate fuel,Fossil,mtCO2,7.98,0.09,1.14
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,3.38,0.58,20.71
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.15,0.02,15.38
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.15,0.02,15.38
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.0,0.0,
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,620.14,-16.37,-2.57
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Fuel,Bioenergy,mtCO2,0.09,0.02,28.57
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Fuel,Coal,mtCO2,4.6,-0.49,-9.63
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Fuel,Gas,mtCO2,3.31,0.57,20.8
Malaysia,MYS,2022-02-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,Fuel,Hydro,mtCO2,0.06,0.0,0.0
